title,abstract,source_url,target_url,authority,authority_url
Aardkundige Waarden - Provincies (INSPIRE geharmoniseerd) WMS,Deze nationale dataset bevat de Aardkundige waarden. De dataset Aardkundige waarden valt binnen het INSPIRE-thema Beschermde gebieden.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/33f3b24a-0b34-4153-9930-726d575a04d1,https://service.pdok.nl/provincies/aardkundige-waarden/wms/v1_0?request=GetCapabilities&service=WMS,provincies,https://www.bij12.nl/
Protected Sites,Deze nationale dataset bevat de Aardkundige waarden. De dataset Aardkundige waarden valt binnen het INSPIRE-thema Beschermde gebieden.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/33f3b24a-0b34-4153-9930-726d575a04d1,https://service.pdok.nl/provincies/aardkundige-waarden/wms/v1_0?request=GetCapabilities&service=WMS,provincies,https://www.bij12.nl/
Protected Sites – Nature Conservation,Deze nationale dataset bevat de Aardkundige waarden. De dataset Aardkundige waarden valt binnen het INSPIRE-thema Beschermde gebieden.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/33f3b24a-0b34-4153-9930-726d575a04d1,https://service.pdok.nl/provincies/aardkundige-waarden/wms/v1_0?request=GetCapabilities&service=WMS,provincies,https://www.bij12.nl/
Actueel Hoogtebestand Nederland (AHN) WMS,"Web Map Service (WMS) van het Actueel Hoogtebestand Nederland (AHN). Het AHN is de digitale hoogtekaart voor heel Nederland. Het bevat gedetailleerde en precieze hoogtegegevens met minimaal tien hoogtemetingen per vierkante meter. AHN is een samenwerking van de provincies, Rijksoverheid en de waterschappen. De hoogte wordt gemeten met laseraltimetrie: een techniek waarbij een vliegtuig met een laserstraal het aardoppervlak aftast. Het huidige AHN is versie 4. Deze versie is ingewonnen over de jaren 2020, 2021 en 2022. Voor meer informatie over het AHN zie https://ahn.nl. In deze service vind je AHN rasterbestanden met een resolutie van 0,5 meter.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/94e5b115-bece-4140-99ed-93b8f363948e,https://service.pdok.nl/rws/ahn/wms/v1_0?request=GetCapabilities&service=WMS,rws,http://www.rijkswaterstaat.nl
"Digital Terrain Model (DTM) 0,5m","Het AHN DTM is bedoeld als maaiveldbestand, waarbij alle punten geclassificeerd als &#x27;maaiveld&#x27; tot een raster zijn herbemonsterd op basis van een Squared IDW methode. Punten geclassificeerd in een andere klasse (niet-maaiveld objecten als bomen, gebouwen, bruggen, water en andere objecten) zijn niet gebruikt in de herbemonstering. Er zijn geen verdere bewerkingen uitgevoerd.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/94e5b115-bece-4140-99ed-93b8f363948e,https://service.pdok.nl/rws/ahn/wms/v1_0?request=GetCapabilities&service=WMS,rws,http://www.rijkswaterstaat.nl
"Digital Surface Model (DSM) 0,5m","Het AHN DSM is bedoeld als ruw bestand, waarbij alle punten behalve die geclassificeerd als &#x27;water&#x27; tot een raster zijn herbemonsterd op basis van een Squared IDW methode. Er zijn geen verdere bewerkingen uitgevoerd.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/94e5b115-bece-4140-99ed-93b8f363948e,https://service.pdok.nl/rws/ahn/wms/v1_0?request=GetCapabilities&service=WMS,rws,http://www.rijkswaterstaat.nl
Kaartbladindex,Kaartbladindex van het Actueel Hoogtebestand Nederland (AHN).,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/94e5b115-bece-4140-99ed-93b8f363948e,https://service.pdok.nl/rws/ahn/wms/v1_0?request=GetCapabilities&service=WMS,rws,http://www.rijkswaterstaat.nl
Administratieve Eenheden (INSPIRE geharmoniseerd) WMS,"Overzicht van de bestuurlijke indeling van Nederland in gemeenten en provincies. Gegevens zijn gebaseerd op de dataset Bestuurlijke Gebieden, welke afgeleid is uit de Basisregistratie Kadaster (BRK).",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/01d4dab6-03ad-4e82-b719-4daf8b96ea14,https://service.pdok.nl/kadaster/au/wms/v2_0?request=GetCapabilities&service=WMS,kadaster,https://www.kadaster.nl
Administrative boundary,"AdministrativeBoundary, geharmoniseerd voor INSPIRE.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/01d4dab6-03ad-4e82-b719-4daf8b96ea14,https://service.pdok.nl/kadaster/au/wms/v2_0?request=GetCapabilities&service=WMS,kadaster,https://www.kadaster.nl
Administrative unit,"AdministrativeUnit, geharmoniseerd voor INSPIRE.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/01d4dab6-03ad-4e82-b719-4daf8b96ea14,https://service.pdok.nl/kadaster/au/wms/v2_0?request=GetCapabilities&service=WMS,kadaster,https://www.kadaster.nl
